Этап	Задача_бэклога	Пункт	Название	Статус	Полная_без_агента_чел_дни	Полная_с_агентом_чел_дни	Сделано_без_агента	Сделано_с_агентом	Остаток_без_агента	Остаток_с_агентом	Примечание
1.0	1.0.1	1.0.1.2	Durable outbox в той же TX, что persist	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
1.0	1.0.1	1.0.1.3	BackgroundService разбора outbox	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
1.0	1.0.1	1.0.1.4	Health/lag-мониторинг воркера аудита	Todo	1.5	1.0	0.0	0.0	1.5	1.0	
1.0	1.0.1	1.0.1.5	Отчёт/экран аудита + история поля	Todo	6.0	3.0	0.0	0.0	6.0	3.0	
1.0	1.0.1	1.0.1.6	Политика хранения / очистка / архивация	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
1.0	1.0.1	1.0.1.7	Права на просмотр аудита	Todo	1.5	0.8	0.0	0.0	1.5	0.8	
1.0	1.0.1	1.0.1.8	Нагрузочное тестирование	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
1.0	1.0.1	1.0.1.9	Внутреннее функциональное тестирование	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
1.0	1.0.1	1.0.1.10	Исправление дефектов	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
1.0	1.0.1	1.0.1.11	UAT	Todo	2.0	2.0	0.0	0.0	2.0	2.0	
1.0	1.0.1	1.0.1.12	Релиз на продуктив	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
1.1	1.1.1	1.1.1.1	Аналитика и требования по дашбордам	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
1.1	1.1.1	1.1.1.2	Каркас модуля дашбордов	Todo	4.0	2.0	0.0	0.0	4.0	2.0	
1.1	1.1.1	1.1.1.3	Движок расчёта/обновления агрегатов → cache	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
1.1	1.1.1	1.1.1.4	SQL-структура кеш-таблиц	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
1.1	1.1.1	1.1.1.5	UI: диаграммы, сводные, drill-down	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
1.1	1.1.1	1.1.1.6	Пилот одного дашборда E2E	Todo	6.0	3.0	0.0	0.0	6.0	3.0	
1.1	1.1.1	1.1.1.7	Тираж остальных дашбордов (~9)	Todo	36.0	14.0	0.0	0.0	36.0	14.0	
1.1	1.1.1	1.1.1.8	Контроль актуальности кеша / времени пересчёта	Todo	3.0	1.5	0.0	0.0	3.0	1.5	
1.1	1.1.1	1.1.1.9	Внутреннее функциональное тестирование	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
1.1	1.1.1	1.1.1.10	Исправление дефектов	Todo	4.0	2.5	0.0	0.0	4.0	2.5	
1.1	1.1.1	1.1.1.11	UAT	Todo	3.0	2.5	0.0	0.0	3.0	2.5	
1.1	1.1.1	1.1.1.12	Релиз на продуктив	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
1.2	1.2.1	1.2.1.1	Инвентаризация SQL Agent jobs / SP (~30 потоков)	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
1.2	1.2.1	1.2.1.2	Аналитика способа выноса оркестрации	Todo	5.0	3.0	0.0	0.0	5.0	3.0	
1.2	1.2.1	1.2.1.3	Вынос оркестрации в прикладной контур	Todo	20.0	10.0	0.0	0.0	20.0	10.0	
1.2	1.2.1	1.2.1.4	Сохранение семантики mdm_integ ↔️ mdm	Todo	8.0	4.0	0.0	0.0	8.0	4.0	
1.2	1.2.1	1.2.1.5	Унификация фиксации ошибок	Todo	5.0	2.5	0.0	0.0	5.0	2.5	
1.2	1.2.1	1.2.1.6	Шаблон отчёта по интеграциям	Todo	5.0	2.5	0.0	0.0	5.0	2.5	
1.2	1.2.1	1.2.1.7	Тираж отчётов на ~30 потоков	Todo	45.0	18.0	0.0	0.0	45.0	18.0	
1.2	1.2.1	1.2.1.8	Точечные правки легаси при необходимости	Todo	6.0	4.0	0.0	0.0	6.0	4.0	
1.2	1.2.1	1.2.1.9	Замена CurrencyRateActual на плановые курсы	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
1.2	1.2.1	1.2.1.10	Внутреннее функциональное тестирование	Todo	6.0	4.0	0.0	0.0	6.0	4.0	
1.2	1.2.1	1.2.1.11	Исправление дефектов	Todo	6.0	4.0	0.0	0.0	6.0	4.0	
1.2	1.2.1	1.2.1.12	UAT с поддержкой (инциденты через отчёты)	Todo	5.0	4.0	0.0	0.0	5.0	4.0	
1.2	1.2.1	1.2.1.13	Релиз на продуктив	Todo	3.0	2.5	0.0	0.0	3.0	2.5	
2.0	2.0.1	2.0.1.1	Подтвердить Gate C по всем доменам	Todo	2.0	1.5	0.0	0.0	2.0	1.5	
2.0	2.0.1	2.0.1.2	Выгрузить 38 вне скоупа в Excel на Confluence	Todo	2.0	1.5	0.0	0.0	2.0	1.5	техподдержка; координация
2.0	2.0.1	2.0.1.3	Подтвердить full backup на момент отключения	Todo	0.5	0.5	0.0	0.0	0.5	0.5	
2.0	2.0.1	2.0.1.4	Обновить docs/user-guide (ссылка на архив)	Todo	1.0	0.8	0.0	0.0	1.0	0.8	
2.0	2.0.1	2.0.1.5	Остановить write-through в легаси	Todo	3.0	2.0	0.0	0.0	3.0	2.0	
2.0	2.0.1	2.0.1.6	Рефакторинг структуры БД (expand/contract)	Todo	15.0	8.0	0.0	0.0	15.0	8.0	
2.0	2.0.1	2.0.1.7	Финальный UAT	Todo	8.0	7.0	0.0	0.0	8.0	7.0	
2.0	2.0.1	2.0.1.8	Вывод Front / GOD / мёртвых сервисов	Todo	6.0	4.0	0.0	0.0	6.0	4.0	
2.0	2.0.1	2.0.1.9	Вывод Elastic / RabbitMQ	Todo	4.0	3.0	0.0	0.0	4.0	3.0	
2.0	2.0.2	2.0.2.1	Схлопнуть Вид/Тип/Тип 3 ур. транспорта	Todo	8.0	4.0	0.0	0.0	8.0	4.0	после Gate D, не в dual-run
